,DateTime,Platinum,Gold,Silver,Palladium,Rhodium,Iridium,Ruthenium
0,2018-01-02,943.0,1317.0,18.12,1088.0,1714.0,976.0,199.0
1,2018-01-03,960.0,1320.0,16.25,1092.0,1716.0,977.0,199.0
2,2018-01-04,959.0,1315.0,19.2,1107.0,1716.0,973.0,200.0
3,2018-01-05,965.0,1323.0,19.2,1103.0,1715.0,976.0,200.0
4,2018-01-08,974.0,1322.0,14.18,1102.0,1714.0,977.0,202.0
5,2018-01-09,971.0,1320.0,17.14,1110.0,1715.0,976.0,200.0
6,2018-01-10,967.0,1328.0,18.2,1101.0,1699.0,975.0,207.0
7,2018-01-11,985.0,1320.0,14.02,1081.0,1701.0,976.0,207.0
8,2018-01-12,998.0,1333.0,14.19,1104.0,1679.0,975.0,208.0
9,2018-01-15,1002.0,1342.0,18.4,1145.0,1682.0,973.0,211.0
10,2018-01-16,999.0,1337.0,19.06,1110.0,1695.0,972.0,209.0
11,2018-01-17,1006.0,1340.0,17.22,1112.0,1692.0,974.0,212.0
12,2018-01-18,1009.0,1333.0,18.1,1112.0,1694.0,977.0,209.0
13,2018-01-19,1020.0,1335.0,18.05,1113.0,1694.0,973.0,212.0
14,2018-01-22,1022.0,1336.0,15.02,1107.0,1697.0,977.0,207.0
15,2018-01-23,1002.0,1339.0,16.8,1099.0,1693.0,972.0,207.0
16,2018-01-24,1024.0,1354.0,18.32,1112.0,1695.0,974.0,207.0
17,2018-01-25,1028.0,1361.0,15.56,1108.0,1693.0,977.0,210.0
18,2018-01-26,1017.0,1353.0,18.38,1096.0,1707.0,977.0,207.0
19,2018-01-29,1016.0,1354.0,19.43,1097.0,1751.0,972.0,210.0
20,2018-01-30,1006.0,1345.0,15.26,1088.0,1791.0,976.0,216.0
21,2018-01-31,1007.0,1344.0,15.27,1049.0,1824.0,977.0,212.0
22,2018-02-01,1003.0,1343.0,19.3,1033.0,1849.0,975.0,213.0
23,2018-02-02,1009.0,1354.0,18.25,1055.0,1852.0,976.0,213.0
24,2018-02-05,1000.0,1343.0,18.9,1039.0,1876.0,976.0,217.0
25,2018-02-06,994.0,1342.0,18.72,1020.0,1877.0,977.0,213.0
26,2018-02-07,988.0,1329.0,15.55,1003.0,1841.0,977.0,216.0
27,2018-02-08,982.0,1314.0,18.31,994.0,1812.0,972.0,212.0
28,2018-02-09,979.0,1322.0,14.44,974.0,1813.0,974.0,216.0
29,2018-02-12,969.0,1324.0,15.44,987.0,1813.0,977.0,217.0
30,2018-02-13,980.0,1329.0,17.62,993.0,1817.0,974.0,214.0
31,2018-02-14,996.0,1342.0,16.77,1003.0,1813.0,975.0,215.0
32,2018-02-15,1009.0,1359.0,13.97,1026.0,1849.0,975.0,216.0
33,2018-02-16,1007.0,1355.0,17.77,1043.0,1866.0,975.0,216.0
34,2018-02-19,1020.0,1354.0,14.75,1057.0,1876.0,976.0,216.0
35,2018-02-20,1016.0,1349.0,14.7,1047.0,1874.0,976.0,213.0
